Hyundai MOBIS Global Program Head,"['https://in.linkedin.com/in/edward-cho-ba5228130', 'https://in.linkedin.com/company/hyundai-mobis?trk=public_profile_experience-group-header', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/amith-halageri-6b128016']"
Hyundai MOBIS Global Data Head,"['https://in.linkedin.com/in/amith-halageri-6b128016', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/narendra-dhenuvakonda-283a9715', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/sharvesh']"
Hyundai MOBIS Global Data Centre Head,"['https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/company/hyundai-mobis', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/radhey-shyam-gupta-74963147']"
Hyundai MOBIS Global Supply Chain Head,"['https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/er-gautam-sharma-23a233166', 'https://in.linkedin.com/in/pankaj-singh-81bb83125']"
Hyundai MOBIS Global Supply Chain IT Head,"['https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/pankaj-singh-81bb83125', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/company/hyundai-mobis']"
Hyundai MOBIS Global Testing Head,[]
Hyundai MOBIS Global QA Head,"['https://in.linkedin.com/in/bhuvanesan-m-70802221', 'https://in.linkedin.com/in/raghavendransrinivasan-61a56467', 'https://in.linkedin.com/in/ritesh-kumar-srivastava-12b709145', 'https://in.linkedin.com/in/sanjay-kumar-pmp%C2%AE-85517718', 'https://in.linkedin.com/in/naveen-kumar-qa']"
Hyundai MOBIS Global Automation Head,"['https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/shoebmohammadk', 'https://in.linkedin.com/in/amith-halageri-6b128016', 'https://in.linkedin.com/in/nandakumar-rajendran-a898b183', 'https://in.linkedin.com/company/hyundaimobisin']"
Hyundai MOBIS Global MES Head,"['https://in.linkedin.com/in/v-selvakumar-kumar-a5510a65', 'https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/in/naveen-kumar-m-3109481a1?trk=public_profile_samename_profile_profile-result-card_result-card_full-click', 'https://in.linkedin.com/in/manikandan-v-23932053']"
Hyundai MOBIS Global IDES Head,"['https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/company/mobis-india-hyundai-motor', 'https://in.linkedin.com/in/skkings', 'https://in.linkedin.com/company/hyundai-mobis?trk=public_profile_experience-group-header']"
Hyundai MOBIS Global PLM Head,"['https://in.linkedin.com/in/shiva-g-b3b63616b', 'https://in.linkedin.com/in/apurva-bajpai-a79a13202', 'https://in.linkedin.com/in/ganesh-krishnamoorthy-a16b4515', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/muthu-saravana-kumar-govindhasamy-921b7023']"
Hyundai MOBIS Global Industry 4.0 Head,"['https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/narendra-dhenuvakonda-283a9715', 'https://in.linkedin.com/in/skkings', 'https://in.linkedin.com/in/sharvesh']"
Hyundai MOBIS Global Cloud Head,"['https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/amith-halageri-6b128016', 'https://in.linkedin.com/in/shoebmohammadk', 'https://in.linkedin.com/in/gaurav-shankar-a0734621', 'https://in.linkedin.com/in/archana-rathnam-87361a2a?trk=public_profile_browsemap']"
Hyundai MOBIS Global IT Infra Head,"['https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/sathesh-kumar-ab58b735', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742']"
Hyundai MOBIS Global ERP Head,"['https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/muthu-saravana-kumar-govindhasamy-921b7023', 'https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/in/gopi-p-428b9220']"
Hyundai MOBIS Global SAP Head,"['https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/vadivelu-s-12945624', 'https://in.linkedin.com/in/baskaran-v-500881287', 'https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/in/gopi-p-428b9220']"
Hyundai MOBIS Global Database Head,"['https://in.linkedin.com/in/amith-halageri-6b128016', 'https://in.linkedin.com/in/edward-cho-ba5228130', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/narendra-dhenuvakonda-283a9715']"
Hyundai MOBIS Global Digital Workplace Head,"['https://in.linkedin.com/in/janardhan-reddy-dubba-02b12121a', 'https://in.linkedin.com/in/devender-singh-4628752b', 'https://in.linkedin.com/in/chetan-prakash-3b032977', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/gopi-krishna-p-b7394137']"
