Egis Global Engineering Head,"['https://in.linkedin.com/company/egis', 'https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/in/mandar-nadkarni-87495018', 'https://in.linkedin.com/company/egisindia']"
Egis Global Delivery Head,"['https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/swasti-sharma-65809516', 'https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/in/rajesh-chaabra-36167619', 'https://in.linkedin.com/in/mandar-nadkarni-87495018']"
Egis Global Program Head,"['https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/in/rajesh-chaabra-36167619', 'https://in.linkedin.com/in/bhaskar-majumdar-8655aa4', 'https://in.linkedin.com/in/mandar-nadkarni-87495018']"
Egis Global Data Head,"['https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/bhaskar-majumdar-8655aa4', 'https://in.linkedin.com/in/sushil-sharma-3126b29', 'https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/company/egisindia']"
Egis Global Data Centre Head,"['https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/sushil-sharma-3126b29', 'https://in.linkedin.com/in/shankar-reddy-26639767', 'https://in.linkedin.com/company/egisindia']"
Egis Global Supply Chain Head,"['https://in.linkedin.com/in/nalini-mittal-7b97242b', 'https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/in/anirudh-mohan-b08474b6', 'https://in.linkedin.com/in/deepti-khurana-53104b10']"
Egis Global Supply Chain IT Head,"['https://in.linkedin.com/in/nalini-mittal-7b97242b', 'https://in.linkedin.com/in/deepti-khurana-53104b10', 'https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/schannan', 'https://in.linkedin.com/in/anup2870']"
Egis Global Testing Head,"['https://in.linkedin.com/company/egisindia', 'https://in.linkedin.com/in/devesh-goyal-98b97730', 'https://in.linkedin.com/in/deepti-khurana-53104b10', 'https://in.linkedin.com/in/swasti-sharma-65809516', 'https://in.linkedin.com/in/ashwani-kumar-15b32453']"
Egis Global QA Head,"['https://in.linkedin.com/in/nikunjmehta05', 'https://in.linkedin.com/company/egisindia', 'https://in.linkedin.com/company/egis?trk=public_profile_experience-group-header', 'https://in.linkedin.com/in/anup2870']"
Egis Global Automation Head,"['https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/in/schannan', 'https://in.linkedin.com/in/manoj-nainani-63641823', 'https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/mandar-nadkarni-87495018']"
Egis Global MES Head,"['https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/in/gajendra-singh-689a3563']"
Egis Global IDES Head,"['https://in.linkedin.com/in/vinay-mahajan-08319b6a', 'https://in.linkedin.com/in/surender-sharma-8257119a', 'https://in.linkedin.com/in/govind-bhat-abhyankar-10080417', 'https://in.linkedin.com/in/arka-roy-6695a417b', 'https://in.linkedin.com/in/divakar-singh-3b6693130']"
Egis Global PLM Head,[]
Egis Global Industry 4.0 Head,"['https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/company/egis?trk=products_details_guest_organization_image', 'https://in.linkedin.com/in/manoj-nainani-63641823', 'https://in.linkedin.com/in/mandar-nadkarni-87495018']"
Egis Global Cloud Head,"['https://in.linkedin.com/in/sushil-sharma-3126b29', 'https://in.linkedin.com/in/mandar-nadkarni-87495018', 'https://in.linkedin.com/in/bhaskar-k-2a503714', 'https://in.linkedin.com/in/devesh-goyal-98b97730']"
Egis Global IT Infra Head,"['https://in.linkedin.com/in/bhaskar-k-2a503714', 'https://in.linkedin.com/in/shailendra-singh-93054344', 'https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/schannan', 'https://in.linkedin.com/in/manoj-nainani-63641823']"
Egis Global ERP Head,"['https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/bhaskar-k-2a503714', 'https://in.linkedin.com/in/sunil-kumar-9a389517', 'https://in.linkedin.com/in/deepak-thapliyal-103127117', 'https://in.linkedin.com/in/swasti-sharma-65809516']"
Egis Global SAP Head,"['https://in.linkedin.com/company/egis?trk=public_profile_experience-group-header', 'https://in.linkedin.com/company/egis?trk=organization-update_share-update_actor-text', 'https://in.linkedin.com/company/egisindia', 'https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/in/devesh-goyal-98b97730']"
Egis Global Database Head,"['https://in.linkedin.com/company/egis?trk=products_details_guest_organization_image', 'https://in.linkedin.com/in/sandeep-gulati-24373937']"
Egis Global Digital Workplace Head,"['https://in.linkedin.com/in/bhaskar-majumdar-8655aa4', 'https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/sushil-sharma-3126b29', 'https://in.linkedin.com/in/anup2870', 'https://in.linkedin.com/in/manjotsinghaullakh']"
Egis Global ServiceNow Head,"['https://in.linkedin.com/in/sushil-sharma-3126b29', 'https://in.linkedin.com/in/shailendra-singh-93054344', 'https://in.linkedin.com/in/dharmender-bharti-45a85810', 'https://in.linkedin.com/in/priyanka-chakraborty-720456150', 'https://in.linkedin.com/in/nikhil-solanki-30aa65124']"
Egis Global Cybersecurity Head,"['https://in.linkedin.com/in/sushil-sharma-3126b29', 'https://in.linkedin.com/in/aroma-rose-reji-aa6241176']"
Egis Global Customer Experience Head,"['https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/in/bhaskar-majumdar-8655aa4', 'https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/schannan', 'https://in.linkedin.com/in/mandar-nadkarni-87495018']"
Egis Global GenAI Head,"['https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/mrityunjay-kumar-63464621', 'https://in.linkedin.com/in/saroj-shukla-8b188468', 'https://in.linkedin.com/in/bhavya-amin-497b4242']"
Egis Global Analytics Head,"['https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/bhaskar-majumdar-8655aa4', 'https://in.linkedin.com/in/asha-s-27b4691a2', 'https://in.linkedin.com/in/anup2870', 'https://in.linkedin.com/in/vivek-srivatsan-70b8006']"
Egis Global Data Science Head,"['https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/bhaskar-majumdar-8655aa4', 'https://in.linkedin.com/company/egisindia', 'https://in.linkedin.com/in/ashish-sharma-72a19720', 'https://in.linkedin.com/in/vivek-srivatsan-70b8006']"
Egis Global RPA Head,"['https://in.linkedin.com/in/bhaskar-majumdar-8655aa4', 'https://in.linkedin.com/in/dipankar-majumdar-3594261a', 'https://in.linkedin.com/in/rupesh-k-717288107', 'https://in.linkedin.com/in/sushmita-basu-6a567819', 'https://in.linkedin.com/in/sandip-das-b534249']"
Egis Global DevOps Head,"['https://in.linkedin.com/in/devesh-goyal-98b97730', 'https://in.linkedin.com/in/varsha-sisodiya-b02196136', 'https://in.linkedin.com/in/gagan-patra-21b68522']"
Egis Global CRM Head,"['https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/mayank-gupta-39ba4115', 'https://in.linkedin.com/in/ajeet-srivastava-3204262a', 'https://in.linkedin.com/in/radhika-naresh-kumar-3199b371', 'https://in.linkedin.com/in/vatsala-vashishtha-59905617a']"
Egis Global Software Engineering Head,"['https://in.linkedin.com/in/bhaskar-k-2a503714', 'https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/company/egis', 'https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/sushil-sharma-3126b29']"
Egis Global Plant Head,"['https://in.linkedin.com/in/devesh-goyal-98b97730', 'https://in.linkedin.com/in/bhaskar-majumdar-8655aa4', 'https://in.linkedin.com/in/sukritmitra', 'https://in.linkedin.com/in/deepak-thapliyal-103127117', 'https://in.linkedin.com/in/sunil-kumar-9a389517']"
Egis Global Manufacturing Head,"['https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/schannan', 'https://in.linkedin.com/in/anup2870']"
Egis Global GBS Head,"['https://in.linkedin.com/in/jasbir-kaur-14333313', 'https://in.linkedin.com/in/deepak-thapliyal-103127117', 'https://in.linkedin.com/in/hukam-chaudhary-b8690815', 'https://in.linkedin.com/in/kusha-srivastava-84748936', 'https://in.linkedin.com/in/sushmita-basu-6a567819']"
Egis Global Innovation Head,"['https://in.linkedin.com/company/egis?trk=products_details_guest_organization_image', 'https://in.linkedin.com/company/egis?trk=public_profile_experience-group-header', 'https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/aayushshrivastav']"
Egis Global Application Development Head,"['https://in.linkedin.com/company/egis?trk=products_details_guest_organization_image', 'https://in.linkedin.com/in/sandeep-gulati-24373937', 'https://in.linkedin.com/in/bhaskar-k-2a503714', 'https://in.linkedin.com/in/sudeep-singh-83333821', 'https://in.linkedin.com/company/egis?trk=public_profile_experience-group-header']"
Egis Global Offshoring Head,"['https://in.linkedin.com/in/mandar-nadkarni-87495018', 'https://in.linkedin.com/in/ajayganesh', 'https://in.linkedin.com/in/nikunjmehta05', 'https://in.linkedin.com/in/ashok-dhawan', 'https://in.linkedin.com/in/ashwani-kumar-kher']"
Egis Global ESG Head,"['https://in.linkedin.com/in/mohit-sood-459a8632', 'https://in.linkedin.com/in/aayushshrivastav', 'https://in.linkedin.com/in/bhaskar-majumdar-8655aa4']"
TÜV Rheinland Group Global GCC Head,"['https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/chandra-shekhar-rics']"
TÜV Rheinland Group Global GIC Head,"['https://in.linkedin.com/in/rene-charton-b9016218/de', 'https://in.linkedin.com/in/rakesh-tiwari-84264a16?trk=public_profile_browsemap']"
TÜV Rheinland Group Global Global Development Centre Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/chandra-shekhar-rics', 'https://in.linkedin.com/company/tuv-rheinland-asia']"
TÜV Rheinland Group Global Country Head,"['https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/alok-menon-767412236', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/prashant-bhandare-15054335']"
TÜV Rheinland Group Global Site Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/bhavik-trivedi-4359635']"
TÜV Rheinland Group Global Centre Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/smitha-galla-a0090012', 'https://in.linkedin.com/company/tuv-rheinland-asia']"
TÜV Rheinland Group Global CTO,[]
TÜV Rheinland Group Global CIO,"['https://in.linkedin.com/in/v-raghunath-35a42b1a', 'https://in.linkedin.com/in/raghunath-v-67025421', 'https://in.linkedin.com/in/dr-charu-jain-227b291']"
TÜV Rheinland Group Global HR Head,"['https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/smitha-galla-a0090012', 'https://in.linkedin.com/in/jonasmosesinbaraj', 'https://in.linkedin.com/in/supradeep-shanmugam-manikanta-b9251387']"
TÜV Rheinland Group Global Chief Marketing Officer,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/bhavik-trivedi-4359635']"
TÜV Rheinland Group Global Talent Acquistion Head,"['https://in.linkedin.com/in/smitha-galla-a0090012', 'https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/ym31', 'https://in.linkedin.com/in/jonasmosesinbaraj']"
TÜV Rheinland Group Global Offshoring Head,"['https://in.linkedin.com/pub/dir/Ankit/Narula/in-0-India', 'https://in.linkedin.com/in/tanya-varshney-41219a154', 'https://in.linkedin.com/in/neha-sharma-5140944b']"
TÜV Rheinland Group Global IT Commercial Head,"['https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/raghavendra-kulkarni-098338a', 'https://in.linkedin.com/company/tuv-rheinland-asia', 'https://in.linkedin.com/in/ravindrajtuvr']"
TÜV Rheinland Group Global IT Services Procurement Head,"['https://in.linkedin.com/in/venugopal-balakrishnan-15902517', 'https://in.linkedin.com/in/pushparaja-k-43453722a?trk=public_profile_browsemap', 'https://in.linkedin.com/in/anirudh-paliye-12584baa', 'https://in.linkedin.com/in/udayakumar-kuppusamy-8b1573228', 'https://in.linkedin.com/company/tuv-rheinland-group']"
TÜV Rheinland Group Global Indirect Procurement Head,"['https://in.linkedin.com/in/pushparaja-k-43453722a?trk=public_profile_browsemap', 'https://in.linkedin.com/in/anirudh-paliye-12584baa', 'https://in.linkedin.com/in/rahulkumariimb', 'https://in.linkedin.com/in/ravindrajtuvr']"
TÜV Rheinland Group Global Strategic Sourcing Head,"['https://in.linkedin.com/in/pushparaja-k-43453722a?trk=public_profile_browsemap', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/rahulkumariimb', 'https://in.linkedin.com/in/charan-singh-b262b08', 'https://in.linkedin.com/in/santosh-jha-84b95475']"
TÜV Rheinland Group Global Vendor Management Head,"['https://in.linkedin.com/in/venugopal-balakrishnan-15902517', 'https://in.linkedin.com/in/prashant-bhandare-15054335', 'https://in.linkedin.com/in/pushparaja-k-43453722a?trk=public_profile_browsemap', 'https://in.linkedin.com/in/mandeep-singh-oberoi-07649511', 'https://in.linkedin.com/in/samrat-sinha-90735878']"
TÜV Rheinland Group Global Workforce Strategy Head,"['https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/smitha-galla-a0090012', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525']"
TÜV Rheinland Group Global Contigency Hiring Head,"['https://in.linkedin.com/in/mohit-sharma-960507113', 'https://in.linkedin.com/in/sripad-kr-b527121aa?trk=public_profile_browsemap_profile-result-card_result-card_full-click', 'https://in.linkedin.com/in/adityavermas', 'https://in.linkedin.com/in/arun-jaiswal-95281861', 'https://in.linkedin.com/in/ajjarapu-venkat-rao-37527014a']"
TÜV Rheinland Group Global Contractual Staffing Head,"['https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/chandra-shekhar-rics', 'https://in.linkedin.com/in/santosh-jha-84b95475', 'https://in.linkedin.com/in/amit-kumar-01b21681', 'https://in.linkedin.com/in/david-isaac-611bbbb']"
TÜV Rheinland Group Global Staff Augmentation Head,"['https://in.linkedin.com/in/raghunath-v-67025421', 'https://in.linkedin.com/in/rekha-chunduri-1144a2321', 'https://in.linkedin.com/in/shiju-mathew-pmp%C2%AE-fs-eng-t%C3%BCv-rheinland-81651623', 'https://in.linkedin.com/in/anupriya-sridhar-217233110', 'https://in.linkedin.com/in/manjit-singh-chahal-05b22887']"
TÜV Rheinland Group Global Technical T&M Hiring Head,"['https://in.linkedin.com/in/naved-shaikh-320885104', 'https://in.linkedin.com/in/vimal-chauhan-09208255', 'https://in.linkedin.com/in/shajan-sebastian-3747774']"
TÜV Rheinland Group Global Shared Services Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/raghavendra-kulkarni-098338a', 'https://in.linkedin.com/in/smitha-galla-a0090012']"
TÜV Rheinland Group Global Chief Administrative Officer,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/rakesh-nair-a99b9524']"
TÜV Rheinland Group Global Digital Transformation Head,"['https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/birendra-kumar-sharma-6283458', 'https://in.linkedin.com/in/rakesh-nair-a99b9524']"
TÜV Rheinland Group Global Enterprise IT Head,"['https://in.linkedin.com/in/gopi-g-3837b744', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/raghavendra-kulkarni-098338a', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/bhavik-trivedi-4359635']"
TÜV Rheinland Group Global IT Head,"['https://in.linkedin.com/in/gopi-g-3837b744', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/v-raghunath-35a42b1a', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525']"
TÜV Rheinland Group Global Engineering Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/ravindrajtuvr', 'https://in.linkedin.com/in/raghavendra-kulkarni-098338a', 'https://in.linkedin.com/in/saket-kumar-93a9b933']"
TÜV Rheinland Group Global Delivery Head,"['https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/saket-kumar-93a9b933', 'https://in.linkedin.com/in/mukesh-srivastava-17b0343a', 'https://in.linkedin.com/in/raghavendra-kulkarni-098338a', 'https://in.linkedin.com/in/prashant-bhandare-15054335']"
TÜV Rheinland Group Global Program Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/company/tuvrheinlandme?trk=public_profile_experience-item_profile-section-card_image-click', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/ravindrajtuvr']"
TÜV Rheinland Group Global Data Head,"['https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/ravindrajtuvr', 'https://in.linkedin.com/in/rakesh-nair-a99b9524']"
TÜV Rheinland Group Global Data Centre Head,"['https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/ravindrajtuvr', 'https://in.linkedin.com/in/harminder-oberoi-05207542', 'https://in.linkedin.com/in/saket-kumar-93a9b933']"
TÜV Rheinland Group Global Supply Chain Head,"['https://in.linkedin.com/in/prashant-bhandare-15054335', 'https://in.linkedin.com/in/venugopal-balakrishnan-15902517', 'https://in.linkedin.com/in/gangaa-c-sharma-29136016', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/dr-charu-jain-227b291']"
TÜV Rheinland Group Global Supply Chain IT Head,"['https://in.linkedin.com/in/prashant-bhandare-15054335', 'https://in.linkedin.com/in/venugopal-balakrishnan-15902517', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/nagendra-hebbar-a3587b33']"
TÜV Rheinland Group Global Testing Head,"['https://in.linkedin.com/in/ravindrajtuvr', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/prashant-bhandare-15054335', 'https://in.linkedin.com/company/tuv-rheinland-asia']"
TÜV Rheinland Group Global QA Head,"['https://in.linkedin.com/company/tuvrheinlandme?trk=public_profile_experience-item_profile-section-card_image-click', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/company/tuvrheinlandme?trk=public_profile_experience-item_profile-section-card_subtitle-click', 'https://in.linkedin.com/in/ravindrajtuvr', 'https://in.linkedin.com/in/udayakumar-kuppusamy-8b1573228']"
TÜV Rheinland Group Global Automation Head,"['https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/rahulkumariimb', 'https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/nagendra-hebbar-a3587b33']"
TÜV Rheinland Group Global MES Head,[]
TÜV Rheinland Group Global IDES Head,"['https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/saket-kumar-93a9b933', 'https://in.linkedin.com/in/rahulkumariimb', 'https://in.linkedin.com/in/nagendra-hebbar-a3587b33']"
TÜV Rheinland Group Global PLM Head,"['https://in.linkedin.com/in/nirav-sindha-12119477', 'https://in.linkedin.com/in/meghana-kamath-1b843898', 'https://in.linkedin.com/in/shrikantha-kangannaru-ab954850']"
TÜV Rheinland Group Global Industry 4.0 Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/saket-kumar-93a9b933', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/rakesh-nair-a99b9524']"
TÜV Rheinland Group Global Cloud Head,"['https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/rakesh-nair-a99b9524']"
TÜV Rheinland Group Global IT Infra Head,"['https://in.linkedin.com/in/gopi-g-3837b744', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/chandra-shekhar-rics', 'https://in.linkedin.com/in/raj-kumar-80ab7522', 'https://in.linkedin.com/in/nagendra-hebbar-a3587b33']"
TÜV Rheinland Group Global ERP Head,"['https://in.linkedin.com/in/chandra-shekhar-rics', 'https://in.linkedin.com/in/birendra-kumar-sharma-6283458']"
TÜV Rheinland Group Global SAP Head,"['https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/arijita-das-46174899', 'https://in.linkedin.com/in/prashant-bhandare-15054335']"
TÜV Rheinland Group Global Database Head,"['https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/company/tuvrheinlandme?trk=public_profile_experience-item_profile-section-card_image-click']"
TÜV Rheinland Group Global Digital Workplace Head,"['https://in.linkedin.com/in/gopi-g-3837b744', 'https://in.linkedin.com/in/santosh-jha-84b95475', 'https://in.linkedin.com/in/amit-kumar-01b21681']"
TÜV Rheinland Group Global ServiceNow Head,"['https://in.linkedin.com/in/sandeep-r-15436812', 'https://in.linkedin.com/in/raj-kumar-80ab7522', 'https://in.linkedin.com/in/naved-shaikh-320885104', 'https://in.linkedin.com/in/kishorekumar1']"
TÜV Rheinland Group Global Cybersecurity Head,"['https://in.linkedin.com/in/ravi-kumar-v-451b8079', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/gopi-g-3837b744']"
TÜV Rheinland Group Global Customer Experience Head,"['https://in.linkedin.com/in/brpsingh', 'https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/saket-kumar-93a9b933', 'https://in.linkedin.com/in/raghavendra-kulkarni-098338a']"
TÜV Rheinland Group Global GenAI Head,['https://in.linkedin.com/in/mandeep-singh-oberoi-07649511']
TÜV Rheinland Group Global Analytics Head,"['https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/ravindrajtuvr', 'https://in.linkedin.com/in/saket-kumar-93a9b933', 'https://in.linkedin.com/in/rahulkumariimb']"
TÜV Rheinland Group Global Data Science Head,"['https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/nagendra-hebbar-a3587b33', 'https://in.linkedin.com/in/santosh-jha-84b95475', 'https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525']"
TÜV Rheinland Group Global RPA Head,"['https://in.linkedin.com/in/rakesh-nair-a99b9524', 'https://in.linkedin.com/in/shubhasisdas', 'https://in.linkedin.com/in/sachin-hissaria', 'https://in.linkedin.com/in/prasantkumarpmp', 'https://in.linkedin.com/in/siddhartha-srivastava-15184722']"
TÜV Rheinland Group Global DevOps Head,"['https://in.linkedin.com/in/prashant-bhandare-15054335', 'https://in.linkedin.com/in/raghavendra-kulkarni-098338a', 'https://in.linkedin.com/in/raghunath-v-67025421']"
TÜV Rheinland Group Global CRM Head,"['https://in.linkedin.com/in/shruthiravindranath', 'https://in.linkedin.com/in/atul-atul-bali2002-b1709017', 'https://in.linkedin.com/in/karthikeyan-m-1b391819']"
TÜV Rheinland Group Global Software Engineering Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/raghavendra-kulkarni-098338a', 'https://in.linkedin.com/in/gopi-g-3837b744', 'https://in.linkedin.com/in/bhavik-trivedi-4359635']"
TÜV Rheinland Group Global Plant Head,"['https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/nagendra-hebbar-a3587b33']"
TÜV Rheinland Group Global Manufacturing Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/ravindrajtuvr', 'https://in.linkedin.com/in/saket-kumar-93a9b933']"
TÜV Rheinland Group Global GBS Head,"['https://in.linkedin.com/in/rahulkumariimb', 'https://in.linkedin.com/in/deepakmalhotra72']"
TÜV Rheinland Group Global Innovation Head,"['https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/in/bhavik-trivedi-4359635', 'https://in.linkedin.com/in/harminder-oberoi-05207542']"
TÜV Rheinland Group Global Application Development Head,"['https://in.linkedin.com/in/ashutosh-srivastava-27b60525', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/debabrata-sarker-3b7a8b35', 'https://in.linkedin.com/in/chandra-shekhar-rics', 'https://in.linkedin.com/in/bhavik-trivedi-4359635']"
TÜV Rheinland Group Global Offshoring Head,"['https://in.linkedin.com/pub/dir/Ankit/Narula/in-0-India', 'https://in.linkedin.com/in/neha-sharma-5140944b', 'https://in.linkedin.com/in/tanya-varshney-41219a154']"
TÜV Rheinland Group Global ESG Head,"['https://in.linkedin.com/in/dr-charu-jain-227b291', 'https://in.linkedin.com/in/prashant-bhandare-15054335', 'https://in.linkedin.com/company/tuv-rheinland-group', 'https://in.linkedin.com/in/gangaa-c-sharma-29136016']"
