Vistex Global ESG Head,[]
Hyundai MOBIS Global Innovation Head,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137']"
Hyundai MOBIS Global Application Development Head,"['https://in.linkedin.com/in/narendra-dhenuvakonda-283a9715', 'https://in.linkedin.com/in/umangsharmaofficial', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/sharvesh']"
Hyundai MOBIS Global Offshoring Head,"['https://in.linkedin.com/in/siva-shyam-kumar-8b8b1a58', 'https://in.linkedin.com/in/dr-gururaj-arvind-gumaste-3b08a544?trk=public_post_main-feed-card-text', 'https://in.linkedin.com/in/karthick-raja-3ba262188', 'https://in.linkedin.com/in/madhusudhan-yenuguthati-8812b327', 'https://in.linkedin.com/in/akanksha-ojha-aa5b5a38']"
Hyundai MOBIS Global ESG Head,"['https://in.linkedin.com/in/balamurugan-e-27146a96', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/prem-sai-00ab2322']"
Synapse Design Inc. Global GCC Head,"['https://in.linkedin.com/in/sachinverma7', 'https://in.linkedin.com/in/jigarganatra254', 'https://in.linkedin.com/in/vijaykumar-ms-44635420', 'https://in.linkedin.com/in/diwakar-chintha-948b3360', 'https://in.linkedin.com/in/nanjunde-gowda-baba4332']"
Synapse Design Inc. Global GIC Head,"['https://in.linkedin.com/in/manish-tiwari-01446768', 'https://in.linkedin.com/in/surajkrishnaswamy', 'https://in.linkedin.com/in/udit-maheshwari-33946532']"
Synapse Design Inc. Global Global Development Centre Head,"['https://in.linkedin.com/in/ashwath-banjagere-6855351a', 'https://in.linkedin.com/in/dhaval-shah-5a91bb11', 'https://in.linkedin.com/in/mangesh2604', 'https://in.linkedin.com/in/prashanth-chokkarapu-67aab651', 'https://in.linkedin.com/in/preeti-narayankar-333baa8']"
Synapse Design Inc. Global Country Head,"['https://in.linkedin.com/in/sachinverma7', 'https://in.linkedin.com/in/preeti-narayankar-333baa8', 'https://in.linkedin.com/in/srujan-yerramothu-4234663a', 'https://in.linkedin.com/in/ruchirashukla', 'https://in.linkedin.com/in/jonackjgupta']"
Synapse Design Inc. Global Site Head,"['https://in.linkedin.com/in/sagar-doshi-0ba98743', 'https://in.linkedin.com/in/mangesh2604', 'https://in.linkedin.com/in/dhaval-shah-5a91bb11', 'https://in.linkedin.com/in/chandra-tadiboena-06953a250', 'https://in.linkedin.com/in/prashanth-chokkarapu-67aab651']"
Synapse Design Inc. Global Centre Head,"['https://in.linkedin.com/in/ashwath-banjagere-6855351a', 'https://in.linkedin.com/in/sachinverma7', 'https://in.linkedin.com/in/preeti-narayankar-333baa8', 'https://in.linkedin.com/in/dhaval-shah-5a91bb11', 'https://in.linkedin.com/in/mangesh2604']"
Synapse Design Inc. Global CTO,"['https://in.linkedin.com/in/dhaval-shah-5a91bb11', 'https://in.linkedin.com/in/sagar-doshi-0ba98743', 'https://in.linkedin.com/in/dmanivel', 'https://in.linkedin.com/in/jonackjgupta']"
Synapse Design Inc. Global CIO,"['https://in.linkedin.com/in/ram-n-291260230?trk=public_profile_browsemap', 'https://in.linkedin.com/in/ssanjeevi', 'https://in.linkedin.com/in/swenikapadia', 'https://in.linkedin.com/in/sreenivasa-chakravarti-5776432', 'https://in.linkedin.com/in/swenikapadia']"
Synapse Design Inc. Global HR Head,"['https://in.linkedin.com/in/preeti-narayankar-333baa8', 'https://in.linkedin.com/in/sachinverma7', 'https://in.linkedin.com/in/viswanath-r-19936512', 'https://in.linkedin.com/in/gunjan-rokade-003577163', 'https://in.linkedin.com/in/shimoni-prasad-251210142']"
Synapse Design Inc. Global Chief Marketing Officer,"['https://in.linkedin.com/in/preeti-narayankar-333baa8', 'https://in.linkedin.com/in/mangesh2604', 'https://in.linkedin.com/in/shyambandekar', 'https://in.linkedin.com/in/mahima-shah']"
Synapse Design Inc. Global Talent Acquistion Head,"['https://in.linkedin.com/in/sachinverma7', 'https://in.linkedin.com/in/jonackjgupta', 'https://in.linkedin.com/in/ajay-kumar-9a510421b', 'https://in.linkedin.com/in/preeti-narayankar-333baa8', 'https://in.linkedin.com/in/aishwrya-kashyap-7831a214b']"
Synapse Design Inc. Global Talent Acquistion Head,"['https://in.linkedin.com/in/sachinverma7', 'https://in.linkedin.com/in/jonackjgupta', 'https://in.linkedin.com/in/ajay-kumar-9a510421b', 'https://in.linkedin.com/in/preeti-narayankar-333baa8', 'https://in.linkedin.com/in/aishwrya-kashyap-7831a214b']"
Synapse Design Inc. Global Offshoring Head,"['https://in.linkedin.com/in/sanjay-sharma-7637b818', 'https://in.linkedin.com/in/siddheshdesai', 'https://in.linkedin.com/in/natasha-patel-b40468128', 'https://in.linkedin.com/in/chandra-shekhar-baa79359', 'https://in.linkedin.com/in/karthick-raja-3ba262188']"
